artist,popularity_score
Donna Summer,191
Gordon Lightfoot,189
Bob Dylan,188
George Strait,188
Loretta Lynn,187
Cher,187
Alabama,187
Reba Mcentire,187
Chaka Khan,186
Dean Martin,186
Hank Williams Jr.,185
Neil Young,185
Nazareth,184
Cliff Richard,184
America,184
Indigo Girls,184
Kiss,183
Johnny Cash,183
Chris Rea,182
Bon Jovi,181
Dolly Parton,180
Fleetwood Mac,180
Deep Purple,179
Rolling Stones,179
Roy Orbison,178
The Beatles,178
Rod Stewart,178
Randy Travis,177
Morrissey,177
James Taylor,177
Iggy Pop,177
Michael Jackson,176
Michael W. Smith,176
Elton John,175
Bruce Springsteen,175
Dusty Springfield,175
Rush,175
Green Day,174
Alice Cooper,174
Air Supply,174
Moody Blues,174
Kenny Rogers,174
Neil Diamond,173
Red Hot Chili Peppers,173
Kenny Chesney,173
Emmylou Harris,173
Nick Cave,172
Kylie Minogue,172
Ramones,172
Hillsong,172
Aerosmith,171
Vince Gill,171
Kris Kristofferson,170
Cheap Trick,170
John Prine,170
Kinks,170
Joni Mitchell,170
Gary Numan,170
Bee Gees,170
Paul McCartney,169
Elvis Presley,168
Carly Simon,168
John Denver,168
Uriah Heep,168
Dave Matthews Band,168
Ray Charles,167
Depeche Mode,167
Diana Ross,167
Scorpions,167
Michael Bolton,167
Marilyn Manson,166
Korn,166
Robbie Williams,166
David Bowie,165
Grateful Dead,165
Hillsong United,164
Pearl Jam,164
Lou Reed,164
Glee,164
Pet Shop Boys,164
Backstreet Boys,164
Jimmy Buffett,164
Phish,163
Who,163
Ella Fitzgerald,163
Queen,163
David Allan Coe,162
Status Quo,162
Helloween,162
Conway Twitty,162
Cyndi Lauper,161
Chicago,160
Tom T. Hall,160
Hank Williams,160
Marianne Faithfull,160
Glen Campbell,159
Judas Priest,159
Mariah Carey,159
Leann Rimes,158
Nina Simone,158
Bette Midler,158
Counting Crows,158
Britney Spears,158
Hank Snow,158
Bob Seger,158
George Harrison,157
Barbra Streisand,157
Ozzy Osbourne,157
Kelly Clarkson,157
Bing Crosby,157
Black Sabbath,156
Iron Maiden,156
Paul Simon,156
Lenny Kravitz,156
Natalie Cole,155
Metallica,155
Frank Sinatra,154
Hollies,154
Kenny Loggins,153
Kate Bush,153
Eric Clapton,152
John Mellencamp,152
Waylon Jennings,152
Beach Boys,151
Van Morrison,150
Linda Ronstadt,150
Journey,150
Billie Holiday,150
Radiohead,150
Beautiful South,149
Marillion,149
Oasis,149
Nat King Cole,149
Bonnie Raitt,149
Perry Como,148
The Monkees,148
Tim McGraw,148
Willie Nelson,148
Electric Light Orchestra,148
Amy Grant,147
Miley Cyrus,147
Def Leppard,147
Olivia Newton-John,146
Christina Aguilera,146
Ne-Yo,146
Elvis Costello,146
Squeeze,146
R. Kelly,145
Wanda Jackson,145
Chris Brown,145
Alison Krauss,145
"Harry Connick, Jr.",145
Modern Talking,144
XTC,144
Lynyrd Skynyrd,144
NOFX,143
Avril Lavigne,143
Rihanna,143
Foo Fighters,142
Eurythmics,142
Genesis,141
Billy Joel,141
Tom Jones,141
INXS,140
Christmas Songs,140
UB40,140
Stevie Wonder,139
Jackson Browne,139
